Scale	 Test 1	 Test 2		Test 3	 Test 4	 Scale
Score	 English Mathematics 	Reading	 Science Score
36 	 75 		60	 40	 40	 36
35	 74 		59	 39 	 -	 35
34	 73		58 	 38 	 39 	 34
33	 72		57 	 -	 -	 33
32	 71		55-56	 37	 38	 32
31	 70		54 	 36	 -	 31
30	 68-69		52-53	 35	 37	 30
29	 67		50-51	 34	 36	 29
28	 65-66		48-49	 32-33	 35	 28
27	 63-64		45-47 	 31 	 34 	 27
26 	 61-62		43-44	 30	 33	 26
25 	 58-60 		41-42 	 28-29	 31-32 	 25
24 	 56-57		38-40	 27	 30	 24
23 	 54-55		36-37	 25-26	 28-29	 23
22 	 52-53 		34-35	 24	 27	 22
21 	 49-51		32-33	 23	 25-26	 21
20 	 46-48 		30-31	 21-22	 23-24   20
19 	 43-45		28-29 	 20	 21-22   19
18 	 40-42 		25-27	 19	 19-20	 18
17 	 38-39	 	21-24	 18	 17-18	 17
16 	 36-37 		18-20	 17 	 15-16	 16
15 	 33-35 		15-17 	 15-16 	 14 	 15
14 	 30-32 		12-14 	 14 	 13 	 14
13 	 28-29 		09-11	 12-13	 11-12	 13
12 	 26-27		07-08	 10-11	 10	 12
11 	 24-25 		06 	 08-09 	 09	 11
10 	 21-23		05 	 07	 07-08   10
9 	 18-20 		04 	 06 	 06      9
8 	 15-17 		03 	 05	 05	 8
7 	 12-14 		- 	 04 	 04	 7
6 	 10-11		02	 - 	 03	 6
5 	 08-09		-	 03	 02	 5
4 	 06-07		01	 02	 -	 4
3 	 04-05		-	 -	 01	 3
2 	 02-03		-	 01	 -	 2
1 	 00-01		00	 00	 00	 1
