Scale	 Test 1	 Test 2		Test 3	 Test 4	 Scale
Score	 English Mathematics 	Reading	 Science Score
36 	 75 		60	 40	 40	 36
35	 73-74 		59	 39 	 39	 35
34	 71-72		58 	 38 	 - 	 34
33	 70		56-57 	 37	 38	 33
32	 69		55	 36	 37	 32
31	 67-68		54 	 35	 -	 31
30	 66		52-53	 34	 36	 30
29	 65		50-51	 32-33	 35	 29
28	 63-64		48-49	 31	 33-34	 28
27	 62		45-47 	 30 	 32 	 27
26 	 60-61		42-44	 29	 30-31	 26
25 	 58-59 		40-41 	 27-28	 28-29 	 25
24 	 56-57		37-39	 26	 26-27	 24
23 	 54-55		35-36	 24-25	 25	 23
22 	 52-53 		33-34	 23	 23-24	 22
21 	 49-51		31-32	 22	 21-22	 21
20 	 46-48 		29-30	 20-21	 19-20   20
19 	 42-43		26-28 	 19	 18      19
18 	 41-42 		24-25	 18	 16-17	 18
17 	 39-40	 	21-23	 16-17	 15	 17
16 	 36-38 		17-20	 15 	 14	 16
15 	 33-35 		14-16 	 14 	 13 	 15
14 	 30-32 		11-13 	 12-13 	 12 	 14
13 	 28-29 		09-10	 11	 11	 13
12 	 26-27		07-08	 09-10	 10	 12
11 	 24-25 		06 	 08 	 09	 11
10 	 22-23		05 	 06-07	 07-08   10
9 	 20-21 		04 	 - 	 06      9
8 	 17-19 		03 	 05	 05	 8
7 	 14-16 		- 	 04 	 04	 7
6 	 11-13		02	 03 	 03	 6
5 	 08-10		-	 -	 -	 5
4 	 06-07		01	 02	 02	 4
3 	 04-05		-	 -	 01	 3
2 	 03		-	 01	 -	 2
1 	 00-02		00	 00	 00	 1
