Scale	 Test 1	 Test 2		Test 3	 Test 4	 Scale
Score	 English Mathematics 	Reading	 Science Score
36 	 75 		60	 38-40	 40	 36
35	 73-74 		58-59	 37 	 -	 35
34	 71-72		56-57 	 36 	 39 	 34
33	 70		55 	 35	 -	 33
32	 69		54	 34	 38	 32
31	 68		52-53 	 -	 -	 31
30	 67		50-51	 33	 37	 30
29	 65-66		48-49	 32	 36	 29
28	 64		46-47	 30-31	 35	 28
27	 62-63		43-45 	 29 	 34 	 27
26 	 60-61		41-42	 28	 32-33	 26
25 	 57-59 		39-40 	 27	 30-31 	 25
24 	 55-56		37-38	 26	 29	 24
23 	 53-54		35-36	 25	 27-28	 23
22 	 51-52 		33-34	 24	 25-26	 22
21 	 47-49		31-32	 23	 23-24	 21
20 	 44-46 		30	 22	 21-22   20
19 	 42-43		27-29 	 21	 18-20   19
18 	 39-41 		25-26	 20	 16-17	 18
17 	 37-38	 	22-24	 19	 14-15	 17
16 	 34-36 		18-21	 17-18 	 13	 16
15 	 30-33 		15-17 	 16 	 12 	 15
14 	 28-29 		12-14 	 14-15 	 10-11 	 14
13 	 26-27 		09-11	 12-13	 09	 13
12 	 24-25		08	 10-11	 08	 12
11 	 22-23 		06-07 	 08-09 	 07	 11
10 	 20-21		05 	 07	 06   10
9 	 18-19 		04 	 06 	 05      9
8 	 15-17 		- 	 05	 04	 8
7 	 13-14 		03 	 - 	 04	 7
6 	 10-12		02	 04 	 -	 6
5 	 08-09		-	 03	 02	 5
4 	 06-07		-	 02	 -	 4
3 	 04-05		01	 -	 01	 3
2 	 02-03		-	 01	 -	 2
1 	 00-01		00	 00	 00	 1
